"(3886, 1804)",1
"(2716, 2576)",1
"(2417, 2961)",1
"(2372, 2946)",1
"(3035, 2314)",2
"(2445, 2878)",1
"(3020, 2428)",1
"(3543, 2016)",1
"(3790, 1841)",1
"(3449, 2035)",2
"(2681, 3379)",1
"(2429, 3057)",1
"(2397, 2951)",1
"(2652, 3419)",1
"(2337, 2999)",2
"(2350, 3002)",1
"(2363, 2962)",1
"(2350, 3018)",1
"(2327, 3005)",2
"(3801, 1843)",1
"(3813, 1835)",1
"(3980, 1761)",1
"(3814, 1838)",1
"(3803, 1838)",1
"(2396, 2949)",1
"(2421, 2957)",1
"(2315, 3015)",1
"(3071, 2324)",1
"(2310, 3037)",1
"(2279, 3073)",1
"(2338, 3011)",1
"(3434, 2127)",1
"(3496, 2005)",1
"(3476, 2176)",1
"(3485, 2144)",1
"(3814, 1837)",1
"(3791, 1847)",2
"(3898, 1799)",1
"(3873, 1814)",1
"(3778, 1889)",1
"(3861, 1815)",2
"(3780, 1867)",2
"(2303, 3036)",1
"(2312, 3017)",1
"(2493, 3073)",1
"(2327, 3206)",1
"(1573, 1524)",1
"(1488, 1520)",1
"(2504, 2792)",1
"(1512, 1451)",1
"(1476, 1493)",1
"(1332, 1701)",1
"(1463, 1679)",1
"(2325, 3032)",1
"(1362, 1863)",1
"(1559, 1946)",1
"(3063, 2391)",1
"(2336, 3003)",1
"(2449, 3110)",1
"(2302, 3035)",1
"(3992, 1753)",1
"(3720, 1876)",1
"(3779, 1849)",1
"(3827, 1829)",1
"(3826, 1826)",1
"(3815, 1837)",1
"(3792, 1847)",1
"(3779, 1859)",1
"(2668, 2631)",1
"(2669, 2630)",1
"(2704, 2589)",1
"(2669, 2633)",1
"(2727, 2567)",1
"(2658, 2640)",1
"(2716, 2579)",3
"(2657, 2645)",1
"(2750, 2567)",2
"(2704, 2613)",1
"(2693, 2610)",1
"(2728, 2570)",2
"(3778, 1862)",2
"(3803, 1836)",1
"(3745, 1880)",1
"(3804, 1844)",1
"(3827, 1838)",1
"(3708, 1887)",1
"(3602, 1943)",2
"(3778, 1869)",1
"(2717, 2611)",1
"(2681, 2605)",1
"(2775, 2550)",1
"(2714, 2603)",1
"(2656, 2642)",1
"(2669, 2620)",2
"(2716, 2610)",1
"(2668, 2660)",1
"(2717, 2594)",1
"(3861, 1812)",1
"(3873, 1807)",1
"(3812, 1843)",1
"(3712, 1884)",1
"(3776, 1904)",1
"(3778, 1886)",1
"(3851, 1813)",1
"(3838, 1824)",1
"(3838, 1826)",1
"(3780, 1876)",1
"(3792, 1843)",1
"(3838, 1827)",1
"(3814, 1833)",1
"(2372, 2950)",1
"(2911, 2488)",1
"(2267, 3106)",2
"(1461, 1995)",1
"(1438, 1956)",1
"(2308, 3037)",2
"(3361, 2284)",1
"(2390, 2922)",1
"(3056, 2496)",1
"(3733, 1869)",1
"(3673, 1905)",1
"(3779, 1879)",1
"(3874, 1801)",1
"(3719, 1876)",1
"(3778, 1913)",1
"(3778, 1867)",1
"(3755, 1871)",1
"(3778, 1855)",1
"(3756, 1896)",1
"(3762, 1866)",1
"(3756, 1860)",2
"(3779, 1876)",1
"(3779, 1867)",1
"(2361, 2997)",2
"(2740, 2557)",1
"(2598, 2728)",1
"(2598, 2753)",1
"(2481, 2893)",1
"(2362, 2968)",2
"(2451, 3067)",1
"(2386, 2935)",1
"(2489, 3063)",1
"(3780, 1847)",1
"(3743, 1868)",1
"(3779, 1884)",1
"(3056, 2376)",2
"(3755, 1863)",1
"(3696, 1890)",1
"(3778, 1901)",1
"(3862, 1813)",1
