1500,126
1501,30
1502,24
1503,14
1504,11
1505,17
1506,13
1507,26
1508,20
1509,2
1510,17
1511,22
1512,13
1513,16
1514,21
1515,12
1516,10
1517,28
1518,33
1519,31
1520,41
1521,30
1522,14
1523,16
1524,19
1525,31
1526,21
1527,22
1528,45
1529,52
1530,36
1531,18
1532,19
1533,17
1534,13
1535,24
1536,32
1537,38
1538,62
1539,51
1540,21
1541,97
1542,289
1543,218
1544,80
1545,72
1546,13
1547,7
1548,13
1549,46
1550,58
1551,47
1552,52
1553,49
1554,52
1555,76
1556,86
1557,52
1558,57
1559,76
1560,49
1561,44
1562,37
1563,56
1564,85
1565,72
1566,35
1567,111
1568,110
1569,40
1570,43
1571,42
1572,78
1573,51
1574,19
1575,19
1576,21
1577,33
1578,38
1579,63
1580,57
1581,21
1582,42
1583,44
1584,63
1585,83
1586,88
1587,86
1588,64
1589,56
1590,26
1591,17
1592,29
1593,42
1594,37
1595,25
1596,23
1597,58
1598,67
1599,691
1600,694
1601,41
1602,38
1603,71
1604,77
1605,55
1606,53
1607,31
1608,25
1609,41
1610,43
1611,74
1612,66
1613,42
1614,46
1615,44
1616,134
1617,127
1618,56
1619,62
1620,61
1621,69
1622,70
1623,51
1624,44
1625,72
1626,51
1627,58
1628,61
1629,48
1630,60
1631,74
1632,92
1633,82
1634,60
1635,46
1636,54
1637,64
1638,78
1639,76
1640,78
1641,68
1642,32
1643,18
1644,61
1645,96
1646,82
1647,57
1648,63
1649,139
1650,142
1651,105
1652,103
1653,77
1654,64
1655,71
1656,71
1657,49
1658,39
1659,71
1660,65
1661,47
1662,59
1663,72
1664,169
1665,211
1666,113
1667,90
1668,110
1669,109
1670,118
1671,109
1672,76
1673,41
1674,60
1675,89
1676,77
1677,68
1678,82
1679,81
1680,101
1681,157
1682,168
1683,109
1684,141
1685,191
1686,109
1687,183
1688,172
1689,59
1690,132
1691,108
1692,51
1693,72
1694,88
1695,77
1696,54
1697,82
1698,95
1699,1040
1700,1033
1701,101
1702,81
1703,26
1704,48
1705,37
1706,78
1707,122
1708,86
1709,57
1710,55
1711,45
1712,56
1713,73
1714,61
1715,55
1716,30
1717,61
1718,75
1719,82
1720,89
1721,63
1722,77
1723,110
1724,112
1725,76
1726,52
1727,60
1728,82
1729,125
1730,149
1731,124
1732,93
1733,65
1734,58
1735,59
1736,87
1737,110
1738,149
1739,492
1740,461
1741,87
1742,171
1743,212
1744,168
1745,168
1746,133
1747,168
1748,217
1749,235
1750,175
1751,120
1752,131
1753,139
1754,102
1755,73
1756,59
1757,72
1758,118
1759,219
1760,189
1761,154
1762,152
1763,86
1764,117
1765,160
1766,140
1767,172
1768,158
1769,238
1770,270
1771,231
1772,341
1773,330
1774,240
1775,289
1776,318
1777,307
1778,279
1779,262
1780,194
1781,172
1782,219
1783,270
1784,236
1785,249
1786,293
1787,227
1788,301
1789,436
1790,352
1791,269
1792,274
1793,370
1794,377
1795,378
1796,311
1797,304
1798,381
1799,3139
1800,3237
1801,365
1802,266
1803,307
1804,344
1805,383
1806,355
1807,193
1808,253
1809,355
1810,383
1811,308
1812,270
1813,241
1814,282
1815,422
1816,321
1817,205
1818,190
1819,396
1820,424
1821,373
1822,374
1823,320
1824,338
1825,324
1826,366
1827,375
1828,295
1829,559
1830,652
1831,422
1832,405
1833,485
1834,397
1835,377
1836,431
1837,357
1838,393
1839,622
1840,652
1841,471
1842,355
1843,363
1844,326
1845,347
1846,377
1847,419
1848,582
1849,1128
1850,1065
1851,371
1852,301
1853,273
1854,379
1855,520
1856,427
1857,424
1858,356
1859,544
1860,584
1861,346
1862,357
1863,232
1864,377
1865,546
1866,429
1867,370
1868,577
1869,1025
1870,1095
1871,598
1872,340
1873,273
1874,271
1875,368
1876,344
1877,407
1878,382
1879,873
1880,1038
1881,401
1882,229
1883,229
1884,304
1885,259
1886,1137
1887,1229
1888,289
1889,891
1890,920
1891,270
1892,256
1893,221
1894,293
1895,474
1896,608
1897,512
1898,408
1899,2125
1900,2025
1901,285
1902,286
1903,445
1904,631
1905,595
1906,429
1907,275
1908,253
1909,1381
1910,1464
1911,333
1912,337
1913,574
1914,601
1915,394
1916,337
1917,403
1918,513
1919,1230
1920,1260
1921,414
1922,274
1923,197
1924,379
1925,415
1926,257
1927,219
1928,239
1929,875
1930,872
1931,270
1932,272
1933,280
1934,245
1935,192
1936,194
1937,224
1938,225
1939,541
1940,765
1941,574
1942,504
1943,396
1944,271
1945,337
1946,471
1947,618
1948,673
1949,1137
1950,1635
1951,723
1952,752
1953,655
1954,832
1955,561
1956,318
1957,368
1958,300
1959,479
1960,475
1961,206
1962,277
1963,330
1964,321
1965,349
1966,388
1967,345
1968,359
1969,530
1970,476
1971,228
1972,147
1973,119
1974,133
1975,174
1976,244
1977,257
1978,222
1979,232
1980,997
1981,942
1982,99
1983,109
1984,188
1985,227
1986,303
1987,420
1988,603
1989,2495
1990,2611
1991,1839
1992,2370
1993,2172
1994,2023
1995,1398
1996,927
1997,656
1998,472
1999,1372
2000,1371
2001,516
2002,413
2003,387
2004,455
2005,305
2006,294
2007,370
2008,559
2009,685
2010,469
2011,408
2012,359
2013,214
2014,109
2015,39
2016,16
2017,5
2018,4
2019,0
2020,4
2021,4
