V0037291,"(3035, 2398)"
V0037292,"(2362, 2966)"
V0037294,"(2662, 3339)"
V0037295EL,"(1684, 2084)"
V0037295ER,"(1692, 2127)"
V0037296,"(2398, 2911)"
V0037297,"(2280, 3094)"
V0037298,"(2892, 2423)"
V0037299,"(2362, 2965)"
V0037301,"(3764, 1884)"
V0037302,"(2973, 2368)"
V0037303,"(2138, 3292)"
V0037304,"(3780, 1877)"
V0037305,"(3721, 1885)"
V0037306,"(3779, 1901)"
V0037307,"(3814, 1849)"
V0037308,"(3769, 1887)"
V0037309,"(2988, 2347)"
V0037310,"(2987, 2359)"
V0037311,"(2279, 3118)"
V0037313,"(3213, 2188)"
V0037314,"(3285, 2168)"
V0037315,"(3270, 2136)"
V0037316,"(3305, 2224)"
V0037317,"(3223, 2171)"
V0037318,"(3243, 2158)"
V0037319,"(3307, 2198)"
V0037320,"(3307, 2112)"
V0037321,"(3259, 2142)"
V0037322,"(3248, 2147)"
V0037323,"(5323, 3575)"
V0037324,"(3260, 2142)"
V0037325,"(3231, 2165)"
V0037326,"(3424, 2062)"
V0037327,"(3248, 2155)"
V0037328,"(3260, 2164)"
V0037329,"(3258, 2154)"
V0037330,"(3276, 2180)"
V0037331,"(3253, 2151)"
V0037332,"(3306, 2149)"
V0037333,"(3281, 2127)"
V0037334,"(3308, 2129)"
V0037335,"(3336, 2204)"
V0037336,"(3265, 2143)"
V0037337,"(3224, 2178)"
V0037338,"(3307, 2166)"
V0037339,"(3426, 2091)"
V0037340,"(3307, 2178)"
V0037341,"(3246, 2162)"
V0037343,"(3329, 2638)"
V0037344,"(2986, 2337)"
V0037345,"(2982, 2342)"
V0037346,"(2965, 2370)"
V0037347,"(2975, 2347)"
V0037348,"(2988, 2340)"
V0037349,"(2976, 2356)"
V0037350,"(2991, 2355)"
V0037351,"(2988, 2342)"
V0037352,"(2987, 2346)"
V0037353,"(3011, 2333)"
V0037354,"(2988, 2357)"
V0037355,"(2988, 2373)"
V0037356,"(2964, 2362)"
V0037357,"(2964, 2356)"
V0037358,"(3023, 2335)"
V0037359,"(7317, 5718)"
V0037360,"(3009, 2338)"
V0037361,"(3012, 2340)"
V0037362,"(3000, 2343)"
V0037363,"(2986, 2355)"
V0037364,"(3023, 2315)"
V0037365,"(2374, 2966)"
V0037366,"(2976, 2362)"
V0037367,"(2975, 2356)"
V0037368,"(2976, 2356)"
V0037369,"(2386, 2960)"
V0037370,"(2987, 2347)"
V0037371,"(3000, 2341)"
V0037372,"(2989, 2361)"
V0037373,"(2987, 2346)"
V0037374,"(2976, 2346)"
V0037375,"(2976, 2366)"
V0037376,"(2987, 2368)"
V0037377,"(2988, 2360)"
V0037378,"(2988, 2367)"
V0037379,"(2988, 2358)"
V0037380,"(2988, 2342)"
V0037381,"(2988, 2358)"
V0037382,"(2988, 2361)"
V0037383,"(2988, 2343)"
V0037384,"(2988, 2348)"
V0037385,"(2987, 2361)"
V0037386,"(2987, 2349)"
V0037387,"(2989, 2356)"
V0037388,"(2988, 2357)"
V0037389,"(2988, 2358)"
V0037390,"(2975, 2367)"
V0037391,"(3119, 2465)"
V0037392,"(2988, 2351)"
V0037393,"(2266, 3091)"
V0037394,"(3117, 2264)"
V0037395,"(3188, 2201)"
V0037396,"(3186, 2201)"
V0037397,"(3188, 2239)"
V0037398,"(3188, 2194)"
V0037399,"(3187, 2196)"
V0037400EL,"(1771, 1246)"
V0037400ER,"(1771, 1234)"
V0037401,"(3189, 2224)"
V0037402,"(2221, 3159)"
